NAME,OWS,DWS,Win Shares,WS/48,OBPM,DBPM,BPM,VORP,Wins Above Replacement
Kelly Olynyk,2.3,2.5,4.7,.126,0.3,0.8,1.1,1.4,3.78
Cedi Osman,1.2,0.2,1.5,.029,-0.4,-1.7,-2.1,-0.1,-0.27
Kelly Oubre,0.9,1.3,2.2,.054,-0.9,-1.2,-2.2,-0.1,-0.27
Zaza Pachulia,1.1,1.3,2.3,.128,-2.1,2.4,0.2,0.5,1.35
Jabari Parker,0.1,1.3,1.4,.039,-1.5,-0.5,-2.1,0.0,0.0
Tony Parker,0.6,0.3,0.9,.044,-1.5,-3.7,-5.3,-0.8,-2.16
Chandler Parsons,-0.6,0.6,0.0,-0.004,-3.7,-0.6,-4.3,-0.3,-0.81
Patrick Patterson,0.2,0.9,1.1,.064,-3.0,-0.6,-3.7,-0.4,-1.08
Justin Patton,0.0,0.0,0.0,.079,-2.3,2.1,-0.2,0.0,0.0
Chris Paul,4.4,2.2,6.6,.172,2.9,0.2,3.0,2.4,6.48
Cameron Payne,0.1,0.3,0.5,.031,-1.9,-1.6,-3.5,-0.3,-0.81
Elfrid Payton,0.6,0.9,1.5,.058,-0.7,-0.1,-0.9,0.4,1.08
Gary Payton,0.1,0.0,0.1,.358,9.8,5.2,14.9,0.1,0.27
Theo Pinson,-0.2,0.2,0.0,.004,-3.7,-1.0,-4.8,-0.1,-0.27
Mason Plumlee,2.9,2.9,5.8,.160,-0.1,3.9,3.8,2.6,7.0200000000000005
Miles Plumlee,0.4,0.1,0.5,.145,0.2,-0.3,-0.1,0.1,0.27
Jakob Pöltl,3.5,1.6,5.1,.193,1.5,2.7,4.2,2.0,5.4
Quincy Pondexter,0.5,0.3,0.8,.128,-0.8,-0.6,-1.4,0.0,0.0
Otto Porter,1.8,1.5,3.2,.093,0.4,0.1,0.5,1.0,2.7
Bobby Portis,0.5,1.1,1.6,.060,-1.2,-1.7,-2.9,-0.3,-0.81
Dwight Powell,5.6,1.9,7.5,.215,2.8,1.2,4.0,2.5,6.75
Norman Powell,1.0,1.4,2.4,.102,-0.4,-0.3,-0.7,0.4,1.08
Alex Poythress,0.4,0.2,0.5,.086,-1.6,-0.7,-2.2,0.0,0.0
Zhou Qi,0.0,0.0,0.0,1.261,22.1,-12.6,9.5,0.0,0.0
Ivan Rabb,1.2,0.9,2.1,.137,-1.3,0.7,-0.6,0.2,0.54
Chasson Randle,0.4,0.2,0.6,.041,-1.4,-3.0,-4.4,-0.4,-1.08
Julius Randle,4.2,1.9,6.1,.131,1.8,-0.4,1.4,1.9,5.13
J.J. Redick,4.6,1.2,5.9,.118,2.7,-3.3,-0.7,0.8,2.16
Davon Reed,0.0,0.0,0.1,.064,-2.9,-1.3,-4.2,0.0,0.0
Cameron Reynolds,0.3,0.1,0.4,.078,-0.1,-2.2,-2.3,0.0,0.0
Josh Richardson,3.0,2.6,5.6,.106,1.0,-0.4,0.6,1.7,4.59
Malachi Richardson,-0.2,0.1,-0.1,-0.060,-6.3,-4.5,-10.8,-0.2,-0.54
Austin Rivers,0.4,0.8,1.2,.028,-2.0,-1.5,-3.5,-0.7,-1.89
Devin Robinson,0.2,0.1,0.3,.175,-0.2,1.2,1.0,0.1,0.27
Duncan Robinson,0.0,0.2,0.2,.051,-2.6,-1.6,-4.2,-0.1,-0.27
Glenn Robinson,0.1,0.6,0.7,.054,-3.5,-0.8,-4.2,-0.3,-0.81
Jerome Robinson,-0.2,0.3,0.1,.012,-2.8,-1.5,-4.3,-0.2,-0.54
Mitchell Robinson,4.0,2.2,6.1,.217,0.5,5.2,5.7,2.7,7.290000000000001
Rajon Rondo,-0.2,1.5,1.3,.047,-2.0,0.5,-1.6,0.1,0.27
Derrick Rose,2.6,0.3,3.0,.102,2.3,-2.9,-0.6,0.5,1.35
Terrence Ross,1.7,2.6,4.3,.095,1.0,-1.3,-0.3,0.9,2.43
Terry Rozier,0.9,2.3,3.2,.086,-1.0,0.2,-0.7,0.6,1.62
Ricky Rubio,0.9,2.8,3.7,.095,-0.6,0.6,0.0,0.9,2.43
D'Angelo Russell,2.4,2.6,5.0,.097,3.9,-0.5,3.4,3.3,8.91
Domantas Sabonis,4.3,3.3,7.6,.197,1.5,2.2,3.7,2.6,7.0200000000000005
Brandon Sampson,-0.1,0.1,0.0,.010,-2.8,-1.4,-4.2,-0.1,-0.27
JaKarr Sampson,0.3,0.1,0.5,.173,0.6,-2.0,-1.5,0.0,0.0
Dario Šarić,2.3,1.2,3.5,.084,0.3,-1.4,-1.1,0.5,1.35
Tomáš Satoranský,3.8,0.9,4.7,.104,0.4,-1.0,-0.6,0.8,2.16
Dennis Schröder,0.4,2.4,2.9,.060,-1.6,-1.5,-3.1,-0.6,-1.62
Mike Scott,0.4,1.2,1.6,.053,-1.5,-1.2,-2.7,-0.2,-0.54
Thabo Sefolosha,0.2,1.2,1.5,.115,-2.0,2.6,0.6,0.4,1.08
Wayne Selden,-1.0,0.8,-0.3,-0.009,-3.5,-1.6,-5.1,-1.1,-2.9700000000000006
Collin Sexton,-0.1,-0.5,-0.6,-0.011,-1.5,-3.7,-5.2,-2.1,-5.670000000000001
Landry Shamet,2.7,0.9,3.6,.095,1.4,-2.4,-1.0,0.5,1.35
Iman Shumpert,0.1,1.2,1.4,.045,-1.5,0.1,-1.4,0.2,0.54
Pascal Siakam,5.7,3.6,9.3,.175,2.0,1.4,3.4,3.5,9.450000000000001
Jordan Sibert,0.0,0.0,0.0,.183,13.0,-6.7,6.3,0.0,0.0
Ben Simmons,4.6,3.6,8.2,.146,1.4,2.6,4.1,4.1,11.07
Jonathon Simmons,-0.8,1.1,0.3,.013,-4.1,-0.6,-4.8,-0.7,-1.89
Kobi Simmons,0.0,0.0,0.0,-0.033,-6.3,-0.9,-7.3,0.0,0.0
Anfernee Simons,0.0,0.0,0.1,.020,-1.6,-4.7,-6.3,-0.2,-0.54
Marcus Smart,2.2,3.1,5.3,.116,0.6,1.3,1.8,2.1,5.670000000000001
Dennis Smith,-1.2,1.2,0.0,.001,-1.7,-0.9,-2.5,-0.2,-0.54
Ish Smith,0.5,1.1,1.7,.064,-1.7,-1.1,-2.8,-0.2,-0.54
J.R. Smith,-0.3,0.1,-0.2,-0.038,-3.5,-1.7,-5.2,-0.2,-0.54
Jason Smith,0.0,0.2,0.2,.038,-3.7,-0.6,-4.3,-0.1,-0.27
Zhaire Smith,0.0,0.1,0.1,.048,-2.3,-1.7,-4.0,-0.1,-0.27
Tony Snell,1.6,1.6,3.2,.117,-0.7,-0.4,-1.0,0.3,0.81
Ray Spalding,0.0,0.2,0.2,.051,-4.7,1.4,-3.4,-0.1,-0.27
Omari Spellman,0.6,0.5,1.2,.070,-1.0,0.0,-1.0,0.2,0.54
Nik Stauskas,0.6,0.5,1.1,.052,-0.9,-2.2,-3.2,-0.3,-0.81
D.J. Stephens,0.0,0.0,0.0,-0.119,-9.9,2.3,-7.6,0.0,0.0
Lance Stephenson,-0.1,1.2,1.1,.049,-1.7,-0.4,-2.1,0.0,0.0
Edmond Sumner,-0.2,0.3,0.1,.020,-4.1,0.5,-3.6,-0.1,-0.27
Caleb Swanigan,-0.5,0.2,-0.2,-0.060,-7.8,0.0,-7.8,-0.3,-0.81
Jayson Tatum,1.6,3.4,5.0,.097,-1.4,0.6,-0.8,0.8,2.16
Jeff Teague,1.7,0.5,2.2,.085,0.0,-2.4,-2.4,-0.1,-0.27
